Moment ID,Moment Name - Topic,Prompt,Duration (seconds),Order,Type of Moment,Primary Topic,Ladders to Topic (1),Ladders to Topic (2),Ladders to Topic (3),Ladders to Topic (4)
M00001,Talk to Me: Depression,"Describe a time you were feeling down, depressed, or hopeless.",60,1,Talk to Me,Depression,Mood,Thoughts,Feelings,Relationships
M00001,Talk to Me: Depression,Describe where you were / who you were with during a time you felt depressed.,60,2,Talk to Me,Depression,Mood,Thoughts,Feelings,Relationships
M00001,Talk to Me: Depression,What thoughts and feelings do you notice when you are feeling depressed?,60,3,Talk to Me,Depression,Mood,Thoughts,Feelings,Relationships
M00002,Future Me: Depression,What do you need that you're not currently getting to deal with depression?,60,1,Future Me,Depression,Relationships,Purpose,Spirituality,Feeling Safe
M00002,Future Me: Depression,Describe your future non-depressed self. Where are you? What are you doing?,180,2,Future Me,Depression,Relationships,Purpose,Spirituality,Feeling Safe
M00003,Managing: Depression,Describe a time where you loved yourself.,60,1,Managing,Depression,Self-love,Self-esteem,Confidence,Purpose
M00003,Managing: Depression,What are three things that someone who loves you would say are your good qualities?,90,2,Managing,Depression,Self-love,Self-esteem,Confidence,Purpose
M00004,Sparking: Joy,What brings you the most joy?,60,1,Sparking,Depression,Purpose,Relationships,Mood,Self-esteem
M00004,Sparking: Joy,What mark do you want to leave on the world?,90,2,Sparking,Depression,Purpose,Relationships,Mood,Self-esteem
M00005,Talk to Me: Grief,Describe a time you experienced grief.,180,1,Talk to Me,Grief,Depression,,,
M00005,Talk to Me: Grief,Where were you? Who were you with?,180,2,Talk to Me,Grief,Depression,,,
M00005,Talk to Me: Grief,How did you experience grief? How did it feel? What did you do?,180,3,Talk to Me,Grief,Depression,,,
M00006,Living With: Grief,How do you define grief? What's your relationship to it?,30,1,Living with,Grief,Mood,Relationships,Empathy,Feeling Safe
M00006,Living With: Grief,What do people not understand about your specific grief process?,60,2,Living with,Grief,Mood,Relationships,Empathy,Feeling Safe
M00006,Living With: Grief,What do you need that you are currently not getting as it applies grief.,120,3,Living with,Grief,Mood,Relationships,Empathy,Feeling Safe
M00006,Living With: Grief,Describe how grief plays a part in your ability to engage in day-to-day activities.,180,4,Living with,Grief,Mood,Relationships,Empathy,Feeling Safe
M00007,Reflecting On: Grief,Some people say only time heals. How has your experience of greif changed through the years?,180,1,Reflect on,Grief,Mood,Relationships,Empathy,Feeling Safe
M00007,Reflecting On: Grief,Describe some helpful advice people offer about grief.,60,2,Reflect on,Grief,Mood,Relationships,Empathy,Feeling Safe
M00007,Reflecting On: Grief,What you would share with someone else who's grieving?,60,3,Reflect on,Grief,Mood,Relationships,Empathy,Feeling Safe
M00008,Talk to Me: Anxiety,Describe an event that recently made you nervous or anxious.,60,1,Talk to Me,Anxiety,Confidence,Stress,Feelings,Thoughts
M00008,Talk to Me: Anxiety,What circumstances prompt feelings of anxiety?,60,2,Talk to Me,Anxiety,Confidence,Stress,Feelings,Thoughts
M00008,Talk to Me: Anxiety,What thoughts and physical feelings do you notice when you felt anxious?,60,3,Talk to Me,Anxiety,Confidence,Stress,Feelings,Thoughts
M00009,Explore: Anxiety,Describe your experience of anxiety?,120,1,Explore,Anxiety,Physiology,,,
M00009,Explore: Anxiety,Describe the sensations you feel in your body when experiencing anxiety?,60,2,Explore,Anxiety,Physiology,,,
M00010,"Reaching ""Calm""",Describe the ways you currently manage anxiety?,60,1,(free form name),Anxiety,Stress,Care Team,Self-love,
M00010,"Reaching ""Calm""",What tools do and do not work for you?,60,2,(free form name),Anxiety,Stress,Care Team,Self-love,
M00010,"Reaching ""Calm""",What do you need to reduce anxiety that you're not currently getting?,120,3,(free form name),Anxiety,Stress,Care Team,Self-love,
M00011,Reflect On: Social Anxiety,To what extent do you worry about what people think of you?,60,1,Reflect on,Anxiety,Stress,Relationships,Self-esteem,
M00011,Reflect On: Social Anxiety,Describe a time where your worries impacted your behavior.,120,2,Reflect on,Anxiety,Stress,Relationships,Self-esteem,
M00011,Reflect On: Social Anxiety,To what extent do you think people notice your shortcomings?,120,3,Reflect on,Anxiety,Stress,Relationships,Self-esteem,
M00011,Reflect On: Social Anxiety,Now describe how you'd feel if people only saw your good qualities?,60,4,Reflect on,Anxiety,Stress,Relationships,Self-esteem,
M00012,Speaking in Public,Describe a time where you worried about speaking in front of others.,60,1,(free form name),Anxiety,Stress,Physiology,Mood,
M00012,Speaking in Public,Describe the feeling in your body when you know you will need to speak in front others.,60,2,(free form name),Anxiety,Stress,Physiology,Mood,
M00013,Living With: Embarrassment,To what extent do you feel easily embarrassed.,30,1,Living with,Anxiety,Stress,Relationships,,
