Assessment  -  Name,Assessment - Subcategory (2nd line on home screen card),Area,Tags,Home / Intro,"Before your next Lotic moment, list three goals you have for the next year. Nothing is off limits.",CL Index,Content Link: https://docs.google.com/document/d/1zmwXpPDSDw1tkPdveH4vpdGa5kcNUTh1UMTdW1KmmrI/edit?usp=sharing,,2nd Content Link,Lotic Reviews/Assessments,Title,Image / Video,Source Publication,Author,Content
Talk to Me: Depression,Depression Check-in,MIND,"Depressed, Depression, Sad, Sadness, Grief, Mental Health, Anxiety, Stress, Mental Illness, Bipolar, suicide, health, PTSD, pain, anger","To be human means to experience sadness and grief.
Depression is a diagnosable condition with many symptoms.
Let's explore how you're feeling today, without judgement. Ready to share your Lotic moment?",Sometimes the hardest part of telling a story is knowing where to start. Congratulations. You've started.,CL1,Article: “The Symptoms of Depression”,,"Article: ""Is Everyone Depressed?"" ",Link: Patient Health Questionnaire (PHQ-9) Depression Assessment,Depression (major depressive disorder),"no image in article - Ryan, please source ",Mayo Clinic - link: https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,Mayo Clinic,"Overview
Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. Also called major depressive disorder or clinical depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems. You may have trouble doing normal day-to-day activities, and sometimes you may feel as if life isn't worth living.

More than just a bout of the blues, depression isn't a weakness and you can't simply ""snap out"" of it. Depression may require long-term treatment. But don't get discouraged. Most people with depression feel better with medication, psychotherapy or both.

Depression care at Mayo Clinic

Symptoms
Although depression may occur only once during your life, people typically have multiple episodes. During these episodes, symptoms occur most of the day, nearly every day and may include:

Feelings of sadness, tearfulness, emptiness or hopelessness
Angry outbursts, irritability or frustration, even over small matters
Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports
Sleep disturbances, including insomnia or sleeping too much
Tiredness and lack of energy, so even small tasks take extra effort
Reduced appetite and weight loss or increased cravings for food and weight gain
Anxiety, agitation or restlessness
Slowed thinking, speaking or body movements
Feelings of worthlessness or guilt, fixating on past failures or self-blame
Trouble thinking, concentrating, making decisions and remembering things
Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide
Unexplained physical problems, such as back pain or headaches
For many people with depression, symptoms usually are severe enough to cause noticeable problems in day-to-day activities, such as work, school, social activities or relationships with others. Some people may feel generally miserable or unhappy without really knowing why.

Depression symptoms in children and teens
Common signs and symptoms of depression in children and teenagers are similar to those of adults, but there can be some differences.

In younger children, symptoms of depression may include sadness, irritability, clinginess, worry, aches and pains, refusing to go to school, or being underweight.
In teens, symptoms may include sadness, irritability, feeling negative and worthless, anger, poor performance or poor attendance at school, feeling misunderstood and extremely sensitive, using recreational drugs or alcohol, eating or sleeping too much, self-harm, loss of interest in normal activities, and avoidance of social interaction.
Depression symptoms in older adults
Depression is not a normal part of growing older, and it should never be taken lightly. Unfortunately, depression often goes undiagnosed and untreated in older adults, and they may feel reluctant to seek help. Symptoms of depression may be different or less obvious in older adults, such as:

Memory difficulties or personality changes
Physical aches or pain
Fatigue, loss of appetite, sleep problems or loss of interest in sex — not caused by a medical condition or medication
Often wanting to stay at home, rather than going out to socialize or doing new things
Suicidal thinking or feelings, especially in older men
When to see a doctor
If you feel depressed, make an appointment to see your doctor or mental health professional as soon as you can. If you're reluctant to seek treatment, talk to a friend or loved one, any health care professional, a faith leader, or someone else you trust.

When to get emergency help
If you think you may hurt yourself or attempt suicide, call 911 or your local emergency number immediately.

Also consider these options if you're having suicidal thoughts:

Call your doctor or mental health professional.
Call a suicide hotline number — in the U.S., call the National Suicide Prevention Lifeline at 1-800-273-TALK (1-800-273-8255). Use that same number and press ""1"" to reach the Veterans Crisis Line.
Reach out to a close friend or loved one.
Contact a minister, spiritual leader or someone else in your faith community.
If you have a loved one who is in danger of suicide or has made a suicide attempt, make sure someone stays with that person. Call 911 or your local emergency number immediately. Or, if you think you can do so safely, take the person to the nearest hospital emergency room.

Causes
It's not known exactly what causes depression. As with many mental disorders, a variety of factors may be involved, such as:

Biological differences. People with depression appear to have physical changes in their brains. The significance of these changes is still uncertain, but may eventually help pinpoint causes.
Brain chemistry. Neurotransmitters are naturally occurring brain chemicals that likely play a role in depression. Recent research indicates that changes in the function and effect of these neurotransmitters and how they interact with neurocircuits involved in maintaining mood stability may play a significant role in depression and its treatment.
Hormones. Changes in the body's balance of hormones may be involved in causing or triggering depression. Hormone changes can result with pregnancy and during the weeks or months after delivery (postpartum) and from thyroid problems, menopause or a number of other conditions.
Inherited traits. Depression is more common in people whose blood relatives also have this condition. Researchers are trying to find genes that may be involved in causing depression.
Risk factors
Depression often begins in the teens, 20s or 30s, but it can happen at any age. More women than men are diagnosed with depression, but this may be due in part because women are more likely to seek treatment.

Factors that seem to increase the risk of developing or triggering depression include:

Certain personality traits, such as low self-esteem and being too dependent, self-critical or pessimistic
Traumatic or stressful events, such as physical or sexual abuse, the death or loss of a loved one, a difficult relationship, or financial problems
Blood relatives with a history of depression, bipolar disorder, alcoholism or suicide
Being lesbian, gay, bisexual or transgender, or having variations in the development of genital organs that aren't clearly male or female (intersex) in an unsupportive situation
History of other mental health disorders, such as anxiety disorder, eating disorders or post-traumatic stress disorder
Abuse of alcohol or recreational drugs
Serious or chronic illness, including cancer, stroke, chronic pain or heart disease
Certain medications, such as some high blood pressure medications or sleeping pills (talk to your doctor before stopping any medication)
Complications
Depression is a serious disorder that can take a terrible toll on you and your family. Depression often gets worse if it isn't treated, resulting in emotional, behavioral and health problems that affect every area of your life.

Examples of complications associated with depression include:

Excess weight or obesity, which can lead to heart disease and diabetes
Pain or physical illness
Alcohol or drug misuse
Anxiety, panic disorder or social phobia
Family conflicts, relationship difficulties, and work or school problems
Social isolation
Suicidal feelings, suicide attempts or suicide
Self-mutilation, such as cutting
Premature death from medical conditions
Prevention
There's no sure way to prevent depression. However, these strategies may help.

Take steps to control stress, to increase your resilience and boost your self-esteem.
Reach out to family and friends, especially in times of crisis, to help you weather rough spells.
Get treatment at the earliest sign of a problem to help prevent depression from worsening.
Consider getting long-term maintenance treatment to help prevent a relapse of symptoms."
Are you sad?,Depression (Sadness or Depression?),MIND,"Depressed, Depression, Sad, Sadness, Grief, Mental Health, Anxiety, Stress, Mental Illness, Bipolar, suicide, health, PTSD, pain, anger, hopeless","Sadness is a normal reaction to difficult situations. Depression, however, can be more complex and longer lasting. Let’s explore how you're feeling today, without judgement. Ready to share your Lotic moment?",Are you as gentle to yourself as you are with others? Try to cultivate this awareness until your next Lotic Moment. ,CL2,Article: “The Important Difference Between Sadness and Depression”,,Article: “The Symptoms of Depression”,,,,,,
My Support System,Depression (Support Systems),MIND,"Depressed, Depression, Sad, Sadness, Grief, Mental Health, Anxiety, Stress, Mental Illness, Bipolar, suicide, health, PTSD, pain, anger, hopeless, support, treatment, therapy, selfhelp, medication","When it comes to depression, there is no one-size-fits-all solution.
We each have a unique set set of physical, mental, and social circumstances.
Let’s start to uncover your current available support system.",Personal change is process made up of small actions. Today’s story was one of those actions.,CL3,Article. “What’s New In Treatment for Depression”,,Article: “The Psychiatrist Will See You Online Now”,,,,,,
My Future Hopes ,Depression (Hope for the future),MIND,"Depressed, Depression, Sad, Sadness, Grief, Mental Health, Anxiety, Stress, Mental Illness, Bipolar, suicide, health, PTSD, pain, anger, support, treatment, therapy, selfhelp, medication, hope, hopeful, recovery, self care","We live in uncertain times.
But the best part of the future is that it hasn’t happened yet.
Today’s story will explore your feelings about the future.",,CL4,Article: How Can I Get Help for Depression,,,,,,,,
Talk to Me: Anxiety,Anxiety (Check-In),MIND,"anxiety, worry, fear, anxious, frustrated, irritable, anger, bad mood, restless, mental health, depression, anxiety disorder, mental illness, stress, suicide","Anxiety disorders are often misdiagnosed or missed in clinical settings.
However, anxiety disorders can be diagnosed and treated.
Let’s explore how you're feeling today without judgement. Ready to share your Lotic moment
","Stories have a beginning, middle, and end. Congratulations! You've just begun your story, ant the possibilities are endless.",CL5,"Activity: Practice new breathing techniques. ""Box Breathing Techniques and Benefits""",,,,,,,,
Why am I irritated? ,Anxiety (Irritability/Anger),MIND,"anxiety, worry, fear, anxious, frustrated, irritable, anger, bad mood, restless, mental health, depression, anxiety disorder, mental illness, stress, suicide","Anxiety is often used as a synonym for worry.
However, anxiety disorders often present in other ways
Let’s explore how you're feeling today without judgement. Ready to share your Lotic moment?","Before your next Lotic moment, consider the following: “Am I giving my best energy to the things I value most?”",CL6,Article “Anxiety Disorders - Signs and Symptoms”,,Article: “Feeling Anxious? Here is What You Can Do About it Now”,,,,,,
Managing Stress,Anxiety (Physical Experience/Mind-Body),BODY,"anxiety, worry, fear, anxious, frustrated, irritable, anger, bad mood, restless, mental health, depression, anxiety disorder, mental illness, stress, suicide, pain, mind-body, body, illness","Anxiety can appear in many different ways.
Headaches, stomach aches, loss of appetite, sleep disruption, excessive talking, emotional withdrawal…
Today’s story will explore different ways you might experience anxiety. ","Recommended Activity. “After completing this story, go for a 15 minutes walk. Try to notice something you've never noticed before during that walk.”",CL7,"""12 Effects of Anxiety on the Body"" ",,,,,,,,
"Reaching ""Calm""",Anxiety (Fulfillment),MIND,"anxiety, worry, fear, anxious, frustrated, irritable, anger, bad mood, restless, mental health, depression, anxiety disorder, mental illness, stress, suicide, support, treatment, therapy, selfhelp, medication, hope, hopeful, recovery, selfcare","We each experience anxiety in a unique way.
It can be intensified by our physical, mental, and social circumstances.
Let’s start to uncover the current ways you cope with anxiety.","Before your next Lotic moment, consider the following: “Am I treating myself the way I’d like to be treated?”",CL8,"Article: ""How to Cope with Anxiety — Now, in 60 Minutes, and Long-Term""",,,,,,,,
Talk to Me: Mood,Mood (Check-In),MIND,"mood, moody, mood swings, mood disorder, feelings, emotions, mental health","Our moods are a natural part of our emotional rhythm.
But changes in mood might also indicate changes in our overall well-being
Let’s start with checking in on your mood today.",Before your next Lotic Moment play a song that reflects your current mood. Consider making mood playlists to reflect your different moods.,CL9,"Article: ""What Are Moods?""",,,,,,,,
Feeling Sad,Mood (Sadness),MIND,"mood, moody, mood swings, mood disorder, feelings, emotions, mental health, sadness, down, depression, grief","Sadness is a normal reaction to difficult situations.
But it can affect many things, like hormonal and immune response.
Let’s begin to explore your relationship to sadness today.",Kahlil Gibran wrote that “Sadness is but a wall between two gardens.” Where are your gardens? Think of two things right now that make you happy.,CL10,"Article: ""Why Letting Ourselves Feel Bad is the Key to Feeling Better""",,,,,,,,
