Assessment Name -  Topic (Sub Category),Prompt,Duration (seconds),Order
Talk to Me: Depression,"Have you been feeling down, depressed or hopeless?",60,1
Talk to Me: Depression,"Share where you were, who you were with.",60,2
Talk to Me: Depression,What thoughts and feelings did you notice?,60,3
,,,
Are you sad?,Have you felt sad in the last two weeks?,60,1
Are you sad?,Do you know what triggers this sadness?,60,2
Are you sad?,Share how this impacts your day-to-day life.,60,3
,,,
My Support System,Describe your current support system. Who and what do you currently rely on?,60,1
My Support System,What tools do and do not work for you?,60,2
My Support System,What do you need that you're not currently getting.,60,3
,,,
My Future Hopes ,Do you feel optimistic about the future?,60,1
My Future Hopes ,What are some things you look forward to?,60,2
My Future Hopes ,What are some things you worry about?,60,3
,,,
Talk to Me: Anxiety,Describe an event that recently made you nervous or anxious.,60,1
Talk to Me: Anxiety,What circumstances prompted these feelings?,60,2
Talk to Me: Anxiety,What thoughts and physical feelings did you notice?,60,3
,,,
Why am I irritated? ,What thoughts and physical feelings did you have while you felt irritated?,60,1
Why am I irritated? ,"Who were you with, what were you doing, and was the issue resolved?",60,2
Why am I irritated? ,??,,
,,,
Managing Stress,Can you identify things that stress you out?,60,1
Managing Stress,Describe those stressors.,60,2
Managing Stress,Where do you feel stress in your body when you think of these things?,60,3
,,,
"Reaching ""Calm""",Describe the ways you currently deal with anxiety?,60,1
"Reaching ""Calm""",What tools do and do not work for you?,60,2
"Reaching ""Calm""",What do you need that you're not currently getting.,60,3
,,,
Talk to Me: Mood,Describe your overall mood today.,60,1
Talk to Me: Mood,Describe how today’s mood is different or the same than on other days.,60,2
Talk to Me: Mood,"What do your different moods feel, look, and sound like?",60,3
,,,
Feeling Sad,When’s the last time you were sad?,,
Feeling Sad,What did that look like? Where were you and who were you with?,,
Feeling Sad,What physical sensations do you feel in your body when you’re sad?,,
,,,
My Interactive Self,Describe a person who can affect your mood. What is your relationship?,60,1
My Interactive Self,"For better or worse, what is it about this person that affects you?",60,2
My Interactive Self,How would others describe you when you're struggling with your mood?”,60,3
,,,
Talk to Me: Pain,"In the last two weeks, have you been in physical pain?",60,1
Talk to Me: Pain,Describe the details of the pain. Where is it? How long does it last?,60,2
Talk to Me: Pain,Describe your mood during this period where you've experienced physical pain.,60,3
,,,
Managing Pain,Does pain or discomfort limit your movement or impact your mood?,60,1
Managing Pain,Share how your pain impacts you directly. How does it impact you indirectly?,60,2
Managing Pain,What is your response to pain? What actions do you take or not take?,60,3
,,,
Living with Pain,Do you have a routine that helps you manage your chronic pain?,60,1
Living with Pain,Describe some of the activities you engage in.,60,2
Living with Pain,Describe things that are and aren't working with your routine.,60,3
,,,
Talk to Me: Work,Describe your current occupation and a typical day.,60,1
Talk to Me: Work,Describe how your work affects your mood,60,2
Talk to Me: Work,Describe a time where your work negatively affected you.,60,3
,,,
Job Satisfaction,"What would you change about your current work situation, if you could?",60,1
Job Satisfaction,Share what you would like to be doing and why.,60,2
Job Satisfaction,"What is your reaction to the question, “What did you want to be when you grew up?”",60,3
,,,
My Ambitious Self ,What motivates you in your career?,60,1
My Ambitious Self ,How has your motivation changed over time?,60,2
My Ambitious Self ,What would motivate you to make the changes you most want to see?,60,3
,,,
Talk to Me: Sleep,Describe how long it typically takes you to fall asleep.,60,1
Talk to Me: Sleep,Describe how your body typically feels when you wake up.,60,2
Talk to Me: Sleep,,,
,,,
It's Bedtime,Describe what you do before bed and what time that typically happens.,60,1
It's Bedtime,Describe the physical details of your sleep environment.,60,2
It's Bedtime,Describe your ideal conditions for sleep.,60,3
,,,
My Sleep is...not good,Describe the disruption to your sleep routine.,60,1
My Sleep is...not good,Describe your mood during and the day following sleep disruptions.,60,2
My Sleep is...not good,,,
,,,
Talk to Me: Relationships,What do you think it means to have a connection with someone?,60,1
Talk to Me: Relationships,Name one person who you feel very connected to.,60,2
Talk to Me: Relationships,Describe the first time you realized that you had a connection with this person.,,
,,,
Being a Partner,Describe a time where you were a good partner to someone.,60,1
Being a Partner,Describe a time where you know you've been difficult with a partner.,60,2
Being a Partner,,,
,,,
When I was young...,Describe your relationship with your parents/primary caregivers through time.,60,1
When I was young...,How have these relationships affected your other relationships?,60,2
When I was young...,,,
,,,
Being a Friend,How would you describe yourself as a friend?,60,1
Being a Friend,Describe a time when you were a good friend to someone.,60,2
Being a Friend,Describe a time when you have been difficult to be friends with.,60,3
,,,
Talk to Me: Sex,How do you feel about sex and your own sexuallity,60,1
Talk to Me: Sex,Where did you first learn about sex and from who?,60,2
Talk to Me: Sex,What are your most trusted sources about sex and sexual health?,60,3
,,,
My Gender Identity,Describe any questions you have about sexual identity or orientation.,60,1
My Gender Identity,How would you describe your sexual identity?,60,2
My Gender Identity,Describe a time you didn’t feel free to express your sexual identity.,60,3
,,,
Sex.EDU,Describe any questions or concerns about your sexual health.,60,1
Sex.EDU,What access do you have to safe and quality sexual health care. Is it enough?,60,2
Sex.EDU,Describe a situation where you sought support for your sexual health.,60,3
,,,
Talk to Me: Feeling Safe ,Describe the feeling of security to you.,60,1
Talk to Me: Feeling Safe ,What makes you feel secure?,60,2
Talk to Me: Feeling Safe ,What don’t you have currently that you need to feel secure?,60,3
,,,
My Safe Place,Describe some of the places or people that affect your personal security.,60,1
My Safe Place,"If you could, what would you add to your life to increase your feeling of safety and security?",60,2
My Safe Place,"If you could, what would you remove to feel more secure? ",60,3
,,,
Am I what I eat?,Describe your typical food consumption.,60,1
Am I what I eat?,Describe your physical distance from the nearest grocery options.,60,2
Am I what I eat?,Describe your access to food and the effect this has on your diet.,60,3
,,,
Talk to Me: Self-Love,Describe the feelings you have surrounding your body image.,60,1
Talk to Me: Self-Love,Describe a time where you compared your body to someone else’s.,60,2
Talk to Me: Self-Love,Describe the feelings have you associated with your own body?,60,3
,,,
Talk to Me: Retirement ,What feelings do you have with respect to retirement?,60,1
Talk to Me: Retirement ,Describe any worries you have about retirement.,60,2
Talk to Me: Retirement ,Describe your ideal retirement.,60,3
,,,
Talk to Me: Being Social,What do you enjoy doing socially?,60,1
