Reference Number,Question,Yes/No or Scale,Name of Assessment (moment) that this cues?,Is this a preset recurring question to ask?,recurrance condition,recurring timeframe
1,"In the past two weeks, have you felt nervous or on edge?",yes/no,Anxiety (Nervousness),yes,,every two weeks
2,"In the past two weeks, have you felt irritable or easily annoyed?",yes/no,Anxiety (Irritability),yes,,every two weeks
3,Have you been feeling hopeless?,yes/no,Depression (Check-in),no,,N/A
4,Have you felt sad in the past two weeks?,yes/no,Depression (Check-in),yes,,every two weeks
5,"Have you felt a lingering sadness that has lasted more than a few days?
",yes/no,Depression (Check-in),,,
6,"Do you find it harder to enjoy the things you used to enjoy?
",yes/no,Depression (Check-in),,,
7,"Are you finding it hard to stay positive lately? 
",yes/no,Depression (Check-in),,,
8,Do you feel optimistic about your future?,yes/no,Depression (Motivation),no,,N/A
9,Do you find it harder to enjoy the things you used to enjoy?,yes/no,Mood (Check-In),no,,N/A
10,"Is today’s mood different from how you feel on an average day?
",yes/no,Mood (Check-In),yes,,daily
19,"In the past two weeks, have you experienced sadness?",yes/no,Mood (Check-In),yes,,every two weeks
20,"In the past two weeks, have you experienced happiness?",yes/no,Mood (Check-In),yes,,every two weeks
21,Are you in a good mood today?,scale,Mood (Check-In),yes,,daily
22,Are you in a bad mood today?,scale,Mood (Check-In),yes,,daily
29,Do you feel engaged at work?,yes/no,Career (Motivation),no,,N/A
30,Does your work affect your mood negatively?,scale,Career (Mood),no,,N/A
31,Would you change careers if you could?,yes/no,Career (Check-In),no,,N/A
32,Does your career give you a sense of accomplishment?,scale,Career (Fulfilment),no,,N/A
33,Do you feel sufficiently recognized for the work you do?,yes/no,Career (Wholeness),no,,N/A
34,Are you motivated by your current career path?,yes/no,Career (Motivation),no,,N/A
35,Do you look forward to your retirement?,yes/no,Career (Retirement),no,,N/A
36,Do you have an emotional support system?,yes/no,Depression (Support Systems),yes,,other
44,Do you connect with people easily?,yes/no,Relationships (Attachment),no,,N/A
45,Do you have people who you consider confidants?,yes/no,Relationships (Attachment),yes,,other
46,Do you currently have a partner?,yes/no,Relationship (Partner),yes,,other
47,Do you feel like you are a good partner?,scale,Relationship (Partner),yes,,other
48,Are you a parent?,yes/no,Relationship (Family),no,,N/A
49,Are the people who raised you still alive (e.g. your parents or guardians)?,yes/no,Relationship (Family of Origin),no,,N/A
50,"Are you close with your immediate family members (e.g. parents, guardians, siblings)?",scale,Relationship (Family of Origin),no,,N/A
51,Are you a good friend?,scale,Relationship (Friend),no,,N/A
52,Would people describe you as a good friend?,yes/no,Relationship (Friend),no,,N/A
53,Are there people or places that make you feel unsafe?,yes/no,Relationships (Environment),no,,N/A
54,Do you feel you eat a diet healthy diet?,scale,Diet (Check-In),no,,N/A
55,In the past two weeks have you eaten a healthy diet?,yes/no,Diet (Check-In),yes,,every two weeks
56,Do you have access to healthy foods?,yes/no,Diet (Environment),no,,N/A
57,Are you able to cook for yourself?,yes/no,Diet (Caregiving),no,,N/A
58,Do you notice that food affects your mood or happiness?,scale,Diet (Mood),no,,N/A
59,Do you have access to fresh fruits and vegetables? ,yes/no,Diet (Environment),no,,N/A
60,In the past two weeks have you visited an emergency room?,yes/no,Physical (Environment),yes,,every two weeks
65,"Do you experience chronic pain?
",scale,Pain (Check-In),yes,,other
66,In the past two weeks have you had a new symptom that you cannot explain?,yes/no,Pain (Check-In),yes,,every two weeks
67,Does chronic pain affect your day-to-day activities?,yes/no,Pain (Activity),yes,,other
68,Do you suspect that you have food allergies?,yes/no,Allergies (Check-In),no,,N/A
69,Do you have seasonal allergies?,yes/no,Allergies (Check-In),no,,N/A
70,Do allergies affect your day-to-day life?,scale,Allergies (Activitiy),no,,N/A
